Wall time,Step,Value
1637940780.0590491,32800,0.0
1637940815.874976,49200,0.0
1637940887.1765418,82000,0.0
1637940958.184176,114800,0.0
1637940993.6506286,131200,0.0
1637941029.588476,147600,0.0
1637941065.3934457,164000,0.0
1637941100.8479397,180400,0.0
1637941136.1399474,196800,0.0
1637941171.354672,213200,0.0
1637941206.5716484,229600,0.0
1637941242.1262546,246000,0.0
1637941277.3032646,262400,0.0
1637941312.7124662,278800,0.0
1637941347.9104643,295200,0.0
1637941383.2842937,311600,0.0
1637941418.5198302,328000,0.0
1637941453.652738,344400,0.0
1637941488.9285614,360800,0.0
1637941523.8107777,377200,0.0
1637941559.0274565,393600,0.0
1637941594.1894007,410000,0.0
1637941629.3530722,426400,0.0
1637941664.5626683,442800,0.0
1637941735.1845548,475600,0.0
1637941840.8125062,524800,0.0
1637941875.8805008,541200,0.0
1637941911.0642834,557600,0.0
1637941946.2979236,574000,0.0
1637941981.390804,590400,0.0
1637942051.7619722,623200,0.0
1637942086.8754783,639600,0.0
1637942121.9842794,656000,0.0
1637942157.3414676,672400,0.0
1637942192.4874263,688800,0.0
1637942262.9398649,721600,0.004807692486792803
1637942298.2011395,738000,0.004830917809158564
1637942333.5273407,754400,0.0
1637942368.6663346,770800,0.0
1637942403.8962343,787200,0.0
1637942438.9641995,803600,0.0
1637942509.3747845,836400,0.0047846888191998005
1637942544.490707,852800,0.0
1637942614.5335226,885600,0.0
1637942650.067033,902000,0.0
1637942685.4181075,918400,0.0
1637942720.567639,934800,0.004999999888241291
1637942755.494135,951200,0.0
1637942790.5497468,967600,0.0
1637942860.7563016,1000400,0.0
1637942895.9949462,1016800,0.0
1637942931.3303168,1033200,0.0
1637942966.6170862,1049600,0.004950494971126318
1637943001.7749932,1066000,0.0
1637943036.958907,1082400,0.0
1637943071.909924,1098800,0.0
1637943107.103385,1115200,0.0
1637943142.0941901,1131600,0.0
1637943177.1704488,1148000,0.0
1637943212.5223315,1164400,0.0
1637943282.5762875,1197200,0.0
1637943317.6596408,1213600,0.0
1637943352.791751,1230000,0.0
1637943388.1106951,1246400,0.0
1637943458.7652657,1279200,0.0
1637943494.2241163,1295600,0.005076142027974129
1637943529.5083342,1312000,0.0
1637943565.0277174,1328400,0.005235602147877216
1637943635.3082466,1361200,0.0
1637943670.294636,1377600,0.0
1637943741.0022485,1410400,0.0
1637943776.5194285,1426800,0.0
1637943811.8854878,1443200,0.0
1637943847.2508996,1459600,0.0
1637943882.4891331,1476000,0.0
1637943917.8476572,1492400,0.0
1637943988.3805726,1525200,0.0
1637944023.5541933,1541600,0.0
1637944058.9045956,1558000,0.0
1637944094.3623948,1574400,0.0
1637944129.6483197,1590800,0.0
1637944164.5767121,1607200,0.005524862091988325
1637944199.703373,1623600,0.0
1637944269.8391376,1656400,0.005649717524647713
1637944305.4019413,1672800,0.0
1637944340.5446327,1689200,0.0
1637944375.8097143,1705600,0.0
1637944411.2157743,1722000,0.0
1637944446.5420768,1738400,0.0
1637944481.871013,1754800,0.0
1637944517.0913725,1771200,0.0
1637944588.088843,1804000,0.0
1637944623.5965493,1820400,0.0
1637944658.8746846,1836800,0.0
1637944694.6072,1853200,0.0
1637944765.4962788,1886000,0.0
1637944800.969893,1902400,0.0
1637944836.1842859,1918800,0.0
1637944871.5261111,1935200,0.0
1637944906.8952518,1951600,0.0
1637944942.208627,1968000,0.0
