Wall time,Step,Value
1636972103.1547441,32800,0.0
1636972120.8053842,49200,0.0
1636972156.2427287,82000,0.0
1636972191.874796,114800,0.0
1636972209.5950718,131200,0.0
1636972227.3565764,147600,0.0
1636972244.9884715,164000,0.0
1636972262.5270188,180400,0.0
1636972280.200583,196800,0.0
1636972297.9147222,213200,0.0
1636972315.3929305,229600,0.0
1636972333.0342243,246000,0.0
1636972350.8308196,262400,0.0045045046135783195
1636972368.2819934,278800,0.0
1636972385.9066017,295200,0.0
1636972403.5086296,311600,0.0
1636972420.96385,328000,0.0
1636972438.3939614,344400,0.0
1636972456.1936169,360800,0.009259259328246117
1636972473.7048428,377200,0.0
1636972491.1666448,393600,0.004739336669445038
1636972508.7648225,410000,0.0
1636972526.4244142,426400,0.0
1636972543.9141297,442800,0.004854368977248669
1636972579.161271,475600,0.0
1636972631.580388,524800,0.0
1636972649.078643,541200,0.0
1636972666.6387568,557600,0.0
1636972684.3156233,574000,0.0
1636972701.9419851,590400,0.0
1636972737.0437512,623200,0.004545454401522875
1636972754.5444646,639600,0.0
1636972772.181945,656000,0.0
1636972789.5706098,672400,0.0
1636972807.1791573,688800,0.0
1636972842.240687,721600,0.0
1636972859.6141798,738000,0.0
1636972877.1671498,754400,0.0
1636972894.6374936,770800,0.0
1636972912.2572422,787200,0.004807692486792803
1636972929.8549957,803600,0.0
1636972964.973826,836400,0.0
1636972982.585811,852800,0.0
1636973017.2718425,885600,0.0
1636973034.9020765,902000,0.0
1636973052.4096105,918400,0.0
1636973070.02952,934800,0.0
1636973087.6623847,951200,0.0054054055362939835
1636973105.1861026,967600,0.0
1636973140.3644707,1000400,0.0
1636973157.7600577,1016800,0.0
1636973175.2093718,1033200,0.0
1636973192.671599,1049600,0.0
1636973210.1307979,1066000,0.004878048785030842
1636973227.5207863,1082400,0.0
1636973245.0048883,1098800,0.0
1636973262.5832348,1115200,0.0
1636973280.110195,1131600,0.0
1636973297.76039,1148000,0.004878048785030842
1636973315.4251554,1164400,0.0
1636973350.505298,1197200,0.0
1636973368.1525273,1213600,0.0
1636973385.6357627,1230000,0.0
1636973402.8886797,1246400,0.0
1636973438.057913,1279200,0.0
1636973455.5601747,1295600,0.0
1636973473.2695682,1312000,0.0
1636973490.821096,1328400,0.0
1636973525.7271662,1361200,0.005319148767739534
1636973543.2349699,1377600,0.0
1636973578.574277,1410400,0.0
1636973596.0441813,1426800,0.004950494971126318
1636973613.762141,1443200,0.004999999888241291
1636973631.2268012,1459600,0.0
1636973648.6628902,1476000,0.004926108289510012
1636973666.0968375,1492400,0.004975124262273312
1636973701.173123,1525200,0.0
1636973718.6487312,1541600,0.0
1636973736.2838519,1558000,0.0
1636973753.8608832,1574400,0.0
1636973771.26977,1590800,0.0
1636973788.7446923,1607200,0.010362694039940834
1636973806.3455622,1623600,0.0
1636973841.6189904,1656400,0.0
1636973859.3410995,1672800,0.0
1636973876.8207486,1689200,0.0
1636973894.4492064,1705600,0.009950248524546623
1636973912.084061,1722000,0.004999999888241291
1636973929.6595373,1738400,0.0
1636973947.2579272,1754800,0.0
1636973964.7195828,1771200,0.0
1636973999.6851249,1804000,0.0
1636974017.2527204,1820400,0.0
1636974034.6652958,1836800,0.0
1636974052.169866,1853200,0.004975124262273312
1636974087.35979,1886000,0.0
1636974104.9098606,1902400,0.0
1636974122.4274852,1918800,0.0
1636974139.962516,1935200,0.0052083334885537624
1636974157.6283412,1951600,0.0
1636974175.249217,1968000,0.0
1636974192.748759,1984400,0.0
1636974210.520885,2000800,0.0
1636974227.9209237,2017200,0.0
1636974245.4444623,2033600,0.0
1636974263.1496084,2050000,0.0
1636974280.9039388,2066400,0.0
1636974298.7308109,2082800,0.0
1636974316.1442194,2099200,0.005434782709926367
1636974333.8010378,2115600,0.0
1636974368.793308,2148400,0.0
1636974386.407948,2164800,0.0
1636974438.9918602,2214000,0.0
1636974456.600118,2230400,0.01005025114864111
1636974491.824116,2263200,0.0
1636974509.4098651,2279600,0.0051282052882015705
1636974544.5768337,2312400,0.0
1636974579.7989733,2345200,0.0
1636974597.2953677,2361600,0.0
1636974614.8809066,2378000,0.0
1636974632.6263094,2394400,0.0
1636974650.4179947,2410800,0.0
1636974667.985314,2427200,0.0
1636974703.0167236,2460000,0.0
1636974720.6225698,2476400,0.0
1636974738.2528472,2492800,0.0
1636974756.0429645,2509200,0.0
1636974791.4527996,2542000,0.0
1636974809.1229713,2558400,0.005319148767739534
1636974826.8500092,2574800,0.0
1636974862.1649737,2607600,0.0
1636974879.7395241,2624000,0.0
1636974897.3541825,2640400,0.0
1636974932.4476182,2673200,0.0
1636974950.026378,2689600,0.004878048785030842
1636974985.3942556,2722400,0.0
1636975003.078072,2738800,0.005154639016836882
1636975038.1811883,2771600,0.0
1636975055.6981816,2788000,0.0
1636975073.317413,2804400,0.0
1636975108.6536036,2837200,0.0
1636975126.3476732,2853600,0.0
1636975144.005392,2870000,0.012578615918755531
1636975179.1239648,2902800,0.0
1636975196.8606513,2919200,0.0
1636975214.5527337,2935600,0.0
1636975232.2482655,2952000,0.0
1636975267.4308414,2984800,0.0
1636975285.276681,3001200,0.0
1636975302.8282177,3017600,0.0
1636975320.4326527,3034000,0.0
1636975338.1495159,3050400,0.005291005130857229
1636975355.7827222,3066800,0.0
1636975373.38556,3083200,0.0
1636975391.0542846,3099600,0.0
1636975408.711973,3116000,0.0
1636975444.0139797,3148800,0.0
1636975461.6507702,3165200,0.0
1636975514.339455,3214400,0.0051282052882015705
1636975585.1708746,3280000,0.0
1636975602.8825824,3296400,0.0
1636975638.2165473,3329200,0.0
1636975655.7859218,3345600,0.0
1636975673.4524958,3362000,0.0
1636975709.0510862,3394800,0.0
1636975726.6883264,3411200,0.0
1636975744.3182905,3427600,0.0
1636975761.8741827,3444000,0.0
1636975779.7432532,3460400,0.0
1636975832.7876883,3509600,0.005747126415371895
1636975850.6214135,3526000,0.0
1636975868.3963,3542400,0.0
1636975886.1879306,3558800,0.0
1636975904.0051494,3575200,0.0
1636975921.8309693,3591600,0.0
1636975939.6714494,3608000,0.0
1636975957.6468694,3624400,0.0
1636975975.3039315,3640800,0.0
1636975992.9384396,3657200,0.005291005130857229
1636976010.6695585,3673600,0.0
1636976028.2614205,3690000,0.0
1636976063.698357,3722800,0.0
1636976081.3479905,3739200,0.0
1636976099.1473188,3755600,0.0
1636976134.8237596,3788400,0.0
1636976152.417492,3804800,0.0
1636976170.0808167,3821200,0.0
1636976187.8915803,3837600,0.0
1636976205.8793688,3854000,0.0062500000931322575
1636976223.5098598,3870400,0.0
1636976241.3238523,3886800,0.0060606058686971664
1636976276.6596987,3919600,0.005434782709926367
1636976294.5963497,3936000,0.0
1636976329.9756238,3968800,0.0
1636976347.7336133,3985200,0.0
1636976365.4063447,4001600,0.0
1636976401.0505197,4034400,0.0
1636976418.7152872,4050800,0.0
1636976436.2600546,4067200,0.0
1636976453.980004,4083600,0.0
1636976471.7425442,4100000,0.0
1636976489.663333,4116400,0.0
1636976507.493129,4132800,0.0
1636976525.3157835,4149200,0.005649717524647713
1636976543.1989696,4165600,0.0
1636976560.7723005,4182000,0.0062500000931322575
1636976578.36791,4198400,0.0
1636976596.1234472,4214800,0.0
1636976613.7936265,4231200,0.0057142856530845165
1636976648.9683533,4264000,0.006493506487458944
1636976666.6075604,4280400,0.0
1636976684.2612221,4296800,0.0
1636976702.1594694,4313200,0.0
1636976737.5904276,4346000,0.0
1636976755.388576,4362400,0.0
1636976773.2815955,4378800,0.0
1636976808.4247072,4411600,0.0
1636976843.8145416,4444400,0.0
1636976879.2031908,4477200,0.0
1636976896.925928,4493600,0.0
1636976914.6574342,4510000,0.00561797758564353
1636976932.580466,4526400,0.0
1636976950.1389737,4542800,0.0
1636976985.413911,4575600,0.0
1636977003.13274,4592000,0.0
