Wall time,Step,Value
1637940779.614932,32800,0.0
1637940815.1484203,49200,0.0
1637940886.2648401,82000,0.0
1637940957.1839786,114800,0.0
1637940992.8350027,131200,0.0
1637941028.233343,147600,0.0
1637941063.7740974,164000,0.0
1637941098.8917177,180400,0.0
1637941134.2385995,196800,0.0
1637941169.179486,213200,0.0
1637941204.3328736,229600,0.0
1637941239.6391485,246000,0.0
1637941274.8771489,262400,0.0
1637941310.0650465,278800,0.0
1637941345.135199,295200,0.0
1637941379.8983285,311600,0.0
1637941414.7558787,328000,0.0
1637941449.9911673,344400,0.0
1637941485.1027992,360800,0.0
1637941519.9965665,377200,0.0
1637941555.2153044,393600,0.0
1637941590.4004133,410000,0.0
1637941625.78943,426400,0.0
1637941660.7433228,442800,0.004219409078359604
1637941730.8500035,475600,0.0
1637941836.0028532,524800,0.0
1637941870.6447873,541200,0.0
1637941905.704198,557600,0.0
1637941940.678894,574000,0.004566209856420755
1637941975.7732708,590400,0.0
1637942045.9662313,623200,0.009259259328246117
1637942080.927593,639600,0.0
1637942115.791245,656000,0.0
1637942150.764411,672400,0.0
1637942185.7633424,688800,0.004629629664123058
1637942255.788682,721600,0.0
1637942290.8938837,738000,0.0
1637942325.8745313,754400,0.0
1637942361.2129326,770800,0.0
1637942396.4676697,787200,0.0
1637942431.5037205,803600,0.0
1637942501.7162957,836400,0.0
1637942536.6950295,852800,0.0
1637942607.2077188,885600,0.0
1637942642.2230048,902000,0.0
1637942677.2254426,918400,0.0
1637942712.2080822,934800,0.0
1637942747.316217,951200,0.0
1637942782.5803428,967600,0.0
1637942852.4376705,1000400,0.0
1637942887.7292612,1016800,0.0
1637942922.8685777,1033200,0.0
1637942957.9251213,1049600,0.0
1637942992.9002588,1066000,0.0
1637943028.097584,1082400,0.0
1637943062.9928012,1098800,0.0
1637943097.9126544,1115200,0.0
1637943132.9594083,1131600,0.0
1637943168.108523,1148000,0.0
1637943203.1445906,1164400,0.0
1637943273.4223592,1197200,0.0
1637943308.5689833,1213600,0.0
1637943343.5436265,1230000,0.0
1637943378.6759458,1246400,0.0
1637943448.7923353,1279200,0.0
1637943483.661087,1295600,0.0
1637943519.111589,1312000,0.0
1637943554.514512,1328400,0.0
1637943624.5319295,1361200,0.0
1637943659.6134267,1377600,0.0
1637943730.0500574,1410400,0.0
1637943765.2004805,1426800,0.0
1637943800.1840837,1443200,0.0
1637943835.1526678,1459600,0.0
1637943870.2153509,1476000,0.0
1637943905.3274927,1492400,0.0
1637943975.4546056,1525200,0.0
1637944010.538838,1541600,0.0
1637944045.7362177,1558000,0.0
1637944080.7669938,1574400,0.005524862091988325
1637944115.668544,1590800,0.0
1637944150.7147758,1607200,0.0
1637944185.7706904,1623600,0.0
1637944256.110207,1656400,0.0
1637944291.1784594,1672800,0.0
1637944326.1203592,1689200,0.0
1637944361.2065382,1705600,0.0
1637944396.3875093,1722000,0.0
1637944431.7158759,1738400,0.0
1637944466.90045,1754800,0.0
1637944501.917506,1771200,0.0
1637944572.7234588,1804000,0.0058823530562222
1637944608.1156437,1820400,0.0
1637944643.3648288,1836800,0.0
1637944678.6296768,1853200,0.0
1637944748.9956288,1886000,0.0
1637944784.2195292,1902400,0.0
1637944819.454476,1918800,0.0
1637944854.5693266,1935200,0.005747126415371895
1637944889.904654,1951600,0.0
1637944925.1203096,1968000,0.0
1637944960.3097878,1984400,0.0
1637944995.415481,2000800,0.0
1637945030.4928331,2017200,0.0
1637945065.5457845,2033600,0.0
1637945100.9930675,2050000,0.0
1637945136.1815689,2066400,0.0
1637945171.3086526,2082800,0.0
1637945206.6219943,2099200,0.0
1637945241.740871,2115600,0.0
1637945312.5921953,2148400,0.0
1637945348.0725026,2164800,0.0
1637945454.0513954,2214000,0.0
1637945489.2520661,2230400,0.0
1637945560.1934052,2263200,0.0
1637945595.8035572,2279600,0.0
1637945666.5218496,2312400,0.0
1637945737.2689188,2345200,0.0
1637945772.7663786,2361600,0.0
1637945807.9367404,2378000,0.0
1637945843.2905164,2394400,0.0
1637945878.457611,2410800,0.0062500000931322575
1637945913.918699,2427200,0.0
1637945984.8045366,2460000,0.0
1637946020.1358688,2476400,0.0
1637946055.6195252,2492800,0.0
1637946091.12485,2509200,0.0
1637946161.8544273,2542000,0.0
1637946197.2473412,2558400,0.0
1637946232.8155653,2574800,0.0
1637946303.9781542,2607600,0.0
1637946339.2513115,2624000,0.0
1637946374.673836,2640400,0.0
1637946445.8007698,2673200,0.006410256493836641
1637946481.3225815,2689600,0.0
1637946552.3033566,2722400,0.0
1637946587.830616,2738800,0.0
1637946658.681852,2771600,0.0
1637946694.2756035,2788000,0.0
1637946729.6576166,2804400,0.0
1637946800.566113,2837200,0.0
1637946836.1917143,2853600,0.0
1637946871.7314308,2870000,0.0
1637946942.4982054,2902800,0.0
1637946978.1016436,2919200,0.0
1637947013.586921,2935600,0.0
1637947049.2101974,2952000,0.0
1637947120.3776474,2984800,0.0
1637947156.1253448,3001200,0.0
1637947191.836511,3017600,0.0
1637947227.483289,3034000,0.0
1637947263.15607,3050400,0.0
1637947298.613031,3066800,0.0
1637947334.0105093,3083200,0.0
1637947369.6379511,3099600,0.0
1637947405.3424253,3116000,0.0
1637947476.6413145,3148800,0.006493506487458944
1637947512.6322484,3165200,0.0
1637947619.5567286,3214400,0.0
1637947761.8812976,3280000,0.0
1637947797.541024,3296400,0.0
1637947868.9076273,3329200,0.0
1637947904.7341857,3345600,0.0
1637947940.4465184,3362000,0.0066225165501236916
1637948011.6240768,3394800,0.0
1637948047.0528543,3411200,0.0
1637948082.783512,3427600,0.0
1637948118.291093,3444000,0.0
1637948153.823679,3460400,0.0
1637948260.6753478,3509600,0.0
1637948296.5285888,3526000,0.0
1637948332.22133,3542400,0.0
1637948367.983895,3558800,0.0
1637948403.596078,3575200,0.0
1637948439.0961757,3591600,0.0
1637948474.5920184,3608000,0.0
1637948510.1229053,3624400,0.00671140942722559
1637948545.5829241,3640800,0.0
1637948581.1102822,3657200,0.0
1637948616.8100102,3673600,0.0
1637948652.3723028,3690000,0.0
1637948723.8529396,3722800,0.0
1637948759.3112173,3739200,0.006896551698446274
1637948794.964518,3755600,0.0
1637948865.909389,3788400,0.0
1637948901.384939,3804800,0.0
1637948936.9941072,3821200,0.0
1637948973.075908,3837600,0.0
1637949008.7945817,3854000,0.0
1637949044.3911338,3870400,0.0
1637949079.9867506,3886800,0.0
1637949151.3504484,3919600,0.0
1637949187.3271146,3936000,0.0
1637949258.7648845,3968800,0.0
1637949294.6049328,3985200,0.0
1637949330.259556,4001600,0.007246376946568489
1637949401.9438746,4034400,0.0
1637949437.6075764,4050800,0.0
1637949472.9413824,4067200,0.0
1637949508.5754626,4083600,0.0
1637949544.3014886,4100000,0.0
1637949580.1649995,4116400,0.0
1637949616.0628018,4132800,0.0
1637949651.9868848,4149200,0.0
1637949687.6060688,4165600,0.0
1637949723.2995062,4182000,0.0
1637949759.028045,4198400,0.0
1637949794.8229067,4214800,0.0
1637949830.7247982,4231200,0.0
1637949902.5569093,4264000,0.0
1637949938.5195997,4280400,0.0
1637949974.1842604,4296800,0.0
1637950010.0472226,4313200,0.0
1637950081.6473994,4346000,0.0
1637950117.4591787,4362400,0.0
1637950153.108146,4378800,0.0
1637950224.6608357,4411600,0.007194244768470526
1637950296.2581663,4444400,0.0
1637950367.624121,4477200,0.007462686393409967
1637950403.254415,4493600,0.007692307699471712
1637950439.1122262,4510000,0.0
1637950474.7442725,4526400,0.0
1637950510.5601673,4542800,0.0
1637950582.2598517,4575600,0.0
1637950618.1424305,4592000,0.0
1637950653.9974942,4608400,0.0
1637950689.8465075,4624800,0.0
1637950725.4775093,4641200,0.0
1637950761.5514822,4657600,0.007518797181546688
1637950797.5544677,4674000,0.0
1637950833.1762755,4690400,0.0
1637951013.2038453,4772400,0.007518797181546688
1637951085.4274037,4805200,0.0
1637951121.4999304,4821600,0.0
1637951193.4909005,4854400,0.0
1637951229.5147903,4870800,0.0
1637951265.3849566,4887200,0.0
1637951301.4936612,4903600,0.0
1637951337.5094855,4920000,0.007633587811142206
1637951373.308204,4936400,0.0
1637951409.2120237,4952800,0.007462686393409967
1637951445.3341296,4969200,0.0
1637951481.2792866,4985600,0.0
1637951517.272156,5002000,0.0
1637951553.2564974,5018400,0.0
1637951661.195471,5067600,0.015625
1637951697.1250072,5084000,0.0
1637951733.184182,5100400,0.0
1637951769.661869,5116800,0.0
1637951805.7208197,5133200,0.0
1637951877.803073,5166000,0.0
1637951913.8029337,5182400,0.0
1637951949.882878,5198800,0.007692307699471712
1637951985.8278892,5215200,0.0
1637952021.8589594,5231600,0.0
1637952057.846918,5248000,0.0
1637952093.834773,5264400,0.0
1637952130.0386539,5280800,0.0078125
1637952166.0177472,5297200,0.0
1637952202.0795116,5313600,0.0
1637952238.1699817,5330000,0.0
1637952274.2868936,5346400,0.007874015718698502
1637952310.4860857,5362800,0.0
1637952346.7343447,5379200,0.0
1637952382.9109683,5395600,0.0
1637952418.953001,5412000,0.0
1637952490.840356,5444800,0.0
1637952527.372581,5461200,0.0
1637952599.4163008,5494000,0.0
1637952671.2702363,5526800,0.0
1637952743.6828084,5559600,0.008130080997943878
1637952779.724898,5576000,0.0
1637952815.797032,5592400,0.01600000075995922
1637952852.1124055,5608800,0.0
1637952888.2490761,5625200,0.0
1637952924.1800358,5641600,0.0
1637952960.2192273,5658000,0.0
1637952996.3342664,5674400,0.008064515888690948
1637953032.395031,5690800,0.008196720853447914
1637953068.4203215,5707200,0.0
